순위_1개월박스	분류	로케이션	제품명	바코드
302	모던 플러스	320-A1-1-632	보노하우스 이노스 우드상판형 투명 서랍장 5단 내츄럴오크 1개	R011103150002
303	와이드 서랍장	320-A1-1-760	보노하우스 가든 라탄 와이드 6단 서랍장 크림 1개	R011643590001
304	슬림서랍장	320-A1-1-204	모던 틈새 수납장 8단 그레이	R004464600002
305	슬림서랍장	320-A1-1-205	모던 틈새 수납장 7단 그레이	R004464600006
306	맥스	320-A1-1-545	보노하우스 국내제조 맥스 이동식 서랍장 다크투명 1개 5단(360 x 430 x 1125 mm)	R244125620012
307	모던 플러스	320-A1-1-661	보노하우스 라탄플러스 우드상판 서랍장 그레이 2단 1개 562mm	R222632990002
308	슬림서랍장	320-A1-1-221	슬림 서랍장 5단 그레이	R000695390022
309	북 트롤리	320-A1-2-120	보노하우스 모던 북 트롤리 수납 정리함 화이트 6단 1개	R016128090002
310	슬라이딩 스텝	320-A1-2-35	보노 슬라이딩 스텝 바스켓  중형 15개	R004575270008
311	초대형	320-A1-1-658	Box_모던초대형해피박스_아이보리_3개	R000538800010
312	옷걸이	320-A1-1-188	어반 어깨뿔 방지 옷걸이 혼합 50개	R008024230002
313	옷걸이	320-A1-1-321	보노하우스 와이드 튼튼 어깨뿔방지 옷걸이 크림 20개  1팩	R013917230009
314	초대형	320-A1-1-103	BOX_모던초대형 해피박스 2P 블루+네이비	R001327720004
315	핸들러 바스켓	320-A1-1-273	보노하우스 리빙 그립 바스켓  S 크림 4개	R012426740001
316	오픈형 바지걸이	320-A1-1-343	보노하우스 윌로우 오픈형 바지걸이 그레이 10개	R227493690002
317	바지걸이	320-A1-1-978	보노하우스 어반 코디 논슬립 바지걸이 그레이 10개	R256253510002
318	슬림형 서랍장	320-A1-1-484	보노하우스 심플리 슬림 서랍장 8단 라이트 그레이 1개	R012426830002
319	모던 플러스	320-A1-1-608	보노하우스 모던플러스 내추럴오크 우드상판 서랍장 라이트그레이 4단 1개	R016233030004
320	슬림형 서랍장	320-A1-1-472	보노하우스 심플리 슬림 서랍장 7단  화이트 1개	R012426490001
321	모던 플러스	320-A1-1-25	보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 4단 1개	R205228410002
322	슬림서랍장	320-A1-1-211	보노 슬림서랍장 6단 화이트(바퀴포함)	R001475620028
323	모던 플러스	320-A1-1-27	보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 2단 1개	R205228440005
