barcode,skuId,productName,category,location,inventoryDate,currentStock,minStock,safetyStock,reorderPoint,maxStock,stockStatus,coverDays,outbound14dTotal,avgDailyOutbound14d,outbound30dTotal,avgDailyOutbound30d,lifecycleStatus
R001327720008,7097077,BOX_모던초대형 해피박스 2P 바이올렛+아이보리,초대형,320-A1-1-107,2026-04-16,13,3,3,3,31,normal,7.91,23,1.64,31,1.03,active
R000538800003,3094759,Box_모던초대형해피박스_바이올렛_2개,초대형,320-A1-1-108,2026-04-16,11,1,1,1,13,normal,30.80,5,0.36,13,0.43,active
R000538800004,3094760,Box_모던초대형해피박스_블루_2개,초대형,320-A1-1-109,2026-04-16,21,2,2,2,16,high,73.50,4,0.29,16,0.53,active
R000538800002,3094758,Box_모던초대형해피박스_네이비_2개,초대형,320-A1-1-110,2026-04-16,16,1,1,1,7,high,224.00,1,0.07,7,0.23,active
R000538800001,3094757,Box_모던초대형해피박스_그레이_2개,초대형,320-A1-1-111,2026-04-16,19,6,6,6,56,normal,8.87,30,2.14,56,1.87,active
R000538800005,3094761,Box_모던초대형해피박스_아이보리_2개,초대형,320-A1-1-112,2026-04-16,19,7,7,7,70,normal,8.87,30,2.14,70,2.33,active
R231382260001,59729366,보노하우스 모던 와이드 해피박스 핑크 2개 1세트 46L 450X400X250mm,초대형,320-A1-1-113,2026-04-16,12,1,1,1,9,high,84.00,2,0.14,9,0.30,active
R231382270002,59729367,보노하우스 모던 와이드 해피박스 블루 2개 1세트 46L 450X400X250mm,초대형,320-A1-1-114,2026-04-16,4,1,1,1,7,normal,18.67,3,0.21,7,0.23,active
R231382280003,59729368,보노하우스 모던 와이드 해피박스 그레이 2개 1세트 46L 450X400X250mm,초대형,320-A1-1-115,2026-04-16,22,2,2,2,21,high,38.50,8,0.57,21,0.70,active
R245371640003,67816625,보노하우스 국내제조 템바보드 서랍장 6단 네이비 1개 6단 562 x 420 x 1172,모던 플러스,320-A1-1-41,2026-04-16,4,1,1,1,8,normal,18.67,3,0.21,8,0.27,active
R245371650004,67816626,보노하우스 국내제조 템바보드 서랍장 6단 딥그린 1개 6단 562 x 420 x 1172,모던 플러스,320-A1-1-42,2026-04-16,4,1,1,1,7,normal,18.67,3,0.21,7,0.23,active
